"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Poll Votes","Tags"
"11/16/2025 12:08 pm","17847630408599936","Instagram","Reel","Video","wichitastateu","Tate Penner","https://www.instagram.com/reel/DRIHcujDkqJ/","The team spilled the tea… who’s the funniest player? 🤭 

See them in action at Game Show Night!
📅 Nov. 18 | 📍 Charles Koch Arena | 🕕 6 PM | 📺 ESPN+ | vs Southeast Missouri State",,"10,262","10,262","","6,523","6,523","","","2.76%","283","252","252","","","","","","","2","23","6","","","","","","","","","10,262","10,262","","","","","","","","","","","","","","","","","","","","","","","","","","","Athletics, Shocker Spirit"
"3/31/2025 1:06 pm","18305030848234831","Instagram","Reel","Video","wichitastateu"," ","https://www.instagram.com/reel/DH34bk5O5Ny/","WSU sophomore infielder Camden Johnson from @goshockersbsb is here to remind you to check your WSU email for this morning's edition of Shocker Blast — the official university newsletter just for students.

And don't forget to go support Wichita State baseball this Wednesday against K-State! Go Shockers! ⚾🌾",,"10,408","10,408","","6,051","6,051","","","2.72%","283","249","249","","","","","","","1","32","1","","","","","","","","","10,408","10,408","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/26/2025 8:30 am","17914934091105140","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DKHlZpuTEtV/","Honoring all our heroes on this Memorial Day. 🇺🇸 🌾 We extend our heartfelt gratitude to the bravery and sacrifices of all service members, veterans and their families.",,"9,513","9,513","","5,003","5,003","","","2.95%","281","276","276","","","","","","","0","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5/9/2025 12:09 pm","18070734103900004","Instagram","Post","Carousel","wichitastateu"," ","https://www.instagram.com/p/DJcM_n_yfQY/","Star of @TheCollegeTourTV, Ashlyn Riggs is one of more than 2,100 Shockers graduating this spring. While at WSU, Ashlyn got invaluable experience working at the @wsucdc as a lead sub teacher. 

🎓 Ashlyn is earning a Bachelor of Arts in Education – Early Childhood Unified, Teacher Apprentice Program. Read more of her story at the 🔗 link in bio.",,"12,764","12,764","","5,295","5,295","","","2.19%","280","273","273","","","","","","","4","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Applied Studies"
"4/30/2025 1:56 pm","18061143041118725","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DJFOB9pJcrh/","John Mark Koontz is graduating with a Bachelor of Music in double bass performance. He credits Wichita State’s faculty and ensembles for shaping his growth. His advice: stay consistent. Progress takes time, but it adds up. 🎓 Read more of his story at the 🔗 link in bio.",,"7,866","7,866","","4,616","4,616","","","3.51%","276","257","257","","","","","","","2","14","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fine Arts"
"9/15/2025 11:18 am","18532419451063397","Instagram","Reel","Video","wichitastateu","Tate Penner","https://www.instagram.com/reel/DOoRmS-APRu/","WSU senior Emerson Wilford on your Shocker volleyball team wants to remind Shockers that you should be reading the Shocker Blast newsletter in your WSU email to learn more about the perks of being a Shocker! You can watch Emerson and the rest of the team face KU at 6 p.m. tomorrow, Sept. 16 in Charles Koch Arena, free with your Shocker ID!",,"13,050","13,050","","7,313","7,313","","","2.1%","274","234","234","","","","","","","0","36","4","","","","","","","","","13,050","13,050","","","","","","","","","","","","","","","","","","","","","","","","","","","Campus Communication"
"10/9/2025 12:44 pm","17949893265019224","Instagram","Reel","Video","wichitastateu","Tate Penner","https://www.instagram.com/reel/DPmOeWmgWUm/","Shocktoberfest energy? Unmatched. Memories? Legendary.",,"10,640","10,640","","6,129","6,129","","","2.57%","273","246","246","","","","","","","1","22","4","","","","","","","","","10,640","10,640","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/27/2025 6:02 pm","18106457278500131","Instagram","Reel","Video","wichitastateu","Lainie Mazzullo","https://www.instagram.com/reel/DN4EyXjieJX/","What. A. Night. 💥 Thanks to everyone who showed up and showed out for Clash of the Colleges! Huge congrats to @fairmountcollegewichitastate for taking home the crown. 👑",,"9,499","9,499","","5,498","5,498","","","2.84%","270","234","234","","","","","","","0","28","8","","","","","","","","","9,499","9,499","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/7/2025 10:17 am","18115153516540483","Instagram","Post","Carousel","wichitastateu","Tate Penner","https://www.instagram.com/p/DPg0LcvDwXo/","Swipe-worthy shots for your phone 💛🖤 Lock screen, home screen or wallpaper—your call. #wsuviews",,"17,914","17,914","","3,975","3,975","","","1.5%","269","258","258","","","","","","","1","7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WSU Views"
"7/25/2025 10:00 am","18516734209060473","Instagram","Post","Photo","wichitastateu","Lainie Mazzullo","https://www.instagram.com/p/DMiPd-ZvXpH/","Last day of summer classes! 🌞",,"13,833","13,833","","4,315","4,315","","","1.94%","269","253","253","","","","","","","3","12","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
